               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.025346,            0.013127,                   0,             0.99943,                   1,               0.995,             0.78821,            0.014285,           0.0038888,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.026954,            0.012348,                   0,             0.99942,                   1,               0.995,             0.81119,            0.015576,           0.0039679,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,             0.03033,            0.013298,                   0,             0.99942,                   1,               0.995,             0.70655,            0.015519,           0.0042159,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.025772,            0.012219,                   0,             0.99872,                   1,               0.995,             0.80123,            0.013186,           0.0040871,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.023716,            0.012981,                   0,              0.9994,                   1,               0.995,             0.77983,            0.011418,           0.0039772,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.028263,            0.012825,                   0,             0.99267,                   1,               0.995,             0.81391,            0.014646,            0.004064,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.028565,            0.012578,                   0,             0.99883,                   1,               0.995,             0.83664,            0.011935,           0.0039077,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.026355,            0.012366,                   0,             0.99908,                   1,               0.995,             0.76443,            0.015446,            0.004151,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.027272,            0.012549,                   0,             0.97809,                   1,             0.99444,             0.71077,            0.016421,           0.0041237,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.029348,            0.012095,                   0,             0.99832,                   1,               0.995,             0.79079,            0.016216,           0.0044402,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,             0.02575,            0.012584,                   0,             0.99758,                   1,               0.995,             0.81697,            0.013329,           0.0040325,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.025628,            0.012352,                   0,             0.99825,                   1,               0.995,             0.81622,            0.015069,           0.0042527,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.024502,            0.012042,                   0,             0.99915,                   1,               0.995,             0.83944,            0.012467,           0.0041225,                   0,           0.0090298,           0.0090298,           0.0090298
